Id	Prompt	Wavfile	RecResult
39535	Frag: Gibt es einen Coiffeur?	39535.wav	thirty nine i want red
39538	Sag: Ich heisse Barbara	39538.wav	my name is barbara
39539	Frag: 3 Tickets nach London	39539.wav	i would like three tickets to london please
39540	Sag: Ich möchte um 14 Uhr morgen abreisen	39540.wav	is there a gym
39541	Sag: Ich heisse Mona	39541.wav	is
39547	Sag: Ich gehe in die Ferien	39547.wav	i going on holidays
39549	Sag: Dies ist mein Pass	39549.wav	this is my passport
39550	Sag: Die Hauptstadt von Spanien ist Madrid	39550.wav	the capital of spain is madrid
39551	Sag: Ich gehe in die Ferien	39551.wav	i go into the holidays
39555	Sag: Ich möchte mit Pfund bezahlen	39555.wav	i will buy card
39556	Frag: 1 Musical-Ticket	39556.wav	i want to leave at two tickets for this
39559	Frag: den Sonntagsbraten	39559.wav	i would like my sunday roast
39561	Frag: Wo ist der Zoo?	39561.wav	where is the zoo
39562	Frag: Wo ist Piccadilly Circus?	39562.wav	where is piccadilly circus
39563	Frag: Welcher Bus fährt dorthin?	39563.wav	which want bar there
39566	Frag: Stiefel	39566.wav	i would like to go
39567	Frag: rote Stiefel	39567.wav	i want three boots
39570	Frag: eine L	39570.wav	i need are
39572	Frag: Zimmer für 2 Nächte	39572.wav	my room for two nights
39573	Sag: Ich möchte mit Kreditkarte bezahlen	39573.wav	i would like buy with credit card
39574	Frag: Einzelzimmer	39574.wav	do five a single room
39580	Frag: einen Hamburger	39580.wav	i would like a hamburger
39583	Sag: Ich habe keine Reservation	39583.wav	yes i have a reservation
39585	Sag: Ich habe keine Reservation	39585.wav	no i don't a i do not have a reservation
39586	Frag: Zimmer für 1 Woche	39586.wav	a room for one week
39588	Frag: 6 Tickets nach London	39588.wav	six tickets to london
39590	Sag: Ich möchte um 8 Uhr morgen abreisen	39590.wav	i want to leave tomorrow at ate am
39591	Sag: Ich heisse Erica	39591.wav	my name is dirty
39596	Frag: Junior Suite	39596.wav	i would like a junior suite
39597	Sag: Ich möchte mit Schweizer Franken bezahlen	39597.wav	pay with swiss francs
39601	Frag: Gibt es ein Schwimmbad?	39601.wav	is there a swimming pool
39605	Sag: Ich möchte mit Postkarte bezahlen	39605.wav	i would like to pay by post card
39609	Frag: Twinzimmer	39609.wav	a single room please
39610	Sag: Ich möchte mit Kreditkarte bezahlen	39610.wav	can i pay with by credit card
39611	Frag: Wo ist das Hotelrestaurant?	39611.wav	where is the hotel restaurant
39620	Sag: Ich habe keine Reservation	39620.wav	no i do not have a reservation
39624	Sag: Ich habe keine Reservation	39624.wav	bad
39627	Sag: Ich heisse John	39627.wav	marble
39628	Sag: Ich habe keine Reservation	39628.wav	no i do not have a reservation
39629	Frag: Zimmer für 5 Nächte	39629.wav	i would a room for five nights
39630	Sag: Ich möchte mit Visa bezahlen	39630.wav	can i pay with visa
39632	Frag: Junior Suite	39632.wav	a junior suite please
