Id,RecResult,Confidence
5835,a room for four nights,1.0 1.0 1.0 1.0 1.0
5836,junior suite,1.0 1.0
5837,geothermal,0.27
5839,i would like to pay by post card,1.0 1.0 1.0 1.0 1.0 1.0 0.99 0.99
5840,is there a hairdresser,1.0 1.0 1.0 1.0
5841,where is the hairdresser,0.92 1.0 1.0 1.0
5842,five tickets to london,1.0 1.0 1.0 1.0
5843,i would like five tickets to london,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5844,i would want tickets to london,0.99 0.71 0.98 0.76 1.0 1.0
5845,i would like to leave tomorrow at eleven a m,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5846,my name is maddalena,1.0 1.0 1.0 1.0
5847,i'm from spain,0.97 1.0 1.0
5848,room for two nights,1.0 1.0 0.58 1.0
5849,i want a room for six nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0
5851,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
5852,is there a grocery store,1.0 1.0 1.0 1.0 1.0
5853,where is the grocery store,1.0 1.0 1.0 1.0 1.0
5854,i would like a room for five nights,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5855,a twin room please,0.99 0.98 1.0 1.0
5856,i would like to pay by credit card,1.0 1.0 1.0 1.0 1.0 0.98 1.0 1.0
5858,where is the grocery store,1.0 1.0 1.0 1.0 1.0
5859,my name is sarah,1.0 1.0 1.0 0.99
5860,i'm from turkey,0.69 1.0 1.0
5861,the capital of turkey is ankara,0.91 1.0 1.0 1.0 1.0 1.0
5862,the capital pants three of turkey is ankara,0.99 1.0 0.61 0.73 1.0 1.0 1.0 1.0
5863,i would like a room for three nights,1.0 1.0 1.0 0.85 0.85 0.85 1.0 1.0
5865,i would like a room for three nights,1.0 1.0 1.0 1.0 1.0 1.0 0.98 1.0
5867,one room,1.0 1.0
5868,a single room,0.99 1.0 1.0
5869,can i pay by credit card,1.0 1.0 1.0 1.0 1.0 1.0
5870,can i pay by swiss francs,1.0 1.0 0.92 0.66 0.54 0.53
5871,can i pay with swiss francs,1.0 1.0 1.0 0.83 0.91 0.88
5872,can i pay by visa,1.0 1.0 1.0 0.97 0.8
