,ofto_error_count,Spell,Article_a_an_error_count,sva_error_count,RuleRepeatedLinkWords_error_count,Verbform_error_count,noun_error_count,Article_error_count,AdjAdv_error_count,Wordform_error_count,VerbCollocation_error_count
nbest.2018-testset-withlma-1best-21-0.0_39535-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39538-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39539-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39540-1,0,0,1,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39541-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39547-1,0,0,0,0,0,0,1,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39549-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39550-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39551-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39555-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39556-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39559-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39561-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39562-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39563-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39566-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39567-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39570-1,0,0,0,0,0,0,1,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39572-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39573-1,0,0,0,0,0,0,0,1,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39574-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39580-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39583-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39585-1,0,0,0,0,0,0,0,0,0,0,2
nbest.2018-testset-withlma-1best-21-0.0_39586-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39588-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39590-1,0,0,1,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39591-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39596-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39597-1,0,0,0,0,0,0,1,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39601-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39605-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39609-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39610-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39611-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39620-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39624-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39627-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39628-1,0,0,0,0,0,0,0,0,0,0,1
nbest.2018-testset-withlma-1best-21-0.0_39629-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39630-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39632-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39634-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39635-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39636-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39639-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39641-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39642-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39648-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39649-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39650-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39652-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39655-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39657-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39658-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39664-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39666-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39667-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39671-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39672-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39675-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39677-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39678-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39682-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39684-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39687-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39690-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39694-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39695-1,0,0,0,0,0,0,0,2,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39701-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39702-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39703-1,0,0,0,0,0,0,0,1,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39704-1,0,0,0,0,0,0,0,0,0,1,2
nbest.2018-testset-withlma-1best-21-0.0_39707-1,0,0,0,0,0,0,0,0,0,0,0
nbest.2018-testset-withlma-1best-21-0.0_39708-1,0,0,0,0,0,0,0,0,0,0,0
