Id,RecResult
4993,room for three nights
4994,room for three nights
4995,i would like a room for three nights
4996,junior suite
4999,no i don't have a reservation
5002,i would like a room for three nights
5003,i would like a room for four nights
5004,i would like a room for one week
5005,i would like a junior suite
5006,i would pay with visa
5007,can i pay with visa
5008,i would pay with swiss francs
5009,can i pay with swiss francs
5013,i would like a double room
5014,i would like five tickets to london
5015,i would like to leave on monday
5016,my name is paul
5017,i'm from italy
5018,i would like a lemonade
5019,i would like a holidays
5020,i lemonade
5021,i would like a double room
5022,i would like a hamburger
5023,i would like my hamburger rare
5026,i would like some boots
5027,i would like a dessert card
5028,the dessert menu please
5029,piccadilly circus
5030,where is the london eye
5031,where is the london eye
5032,which bus goes there
5034,junior stupid
5035,i have no reservation
5036,no i do not have a reservation
5037,room for one week
5038,a room for myself
5039,a single room please
5040,postcard
5042,i would like
5043,is there a grocery store
5044,i would like a room for three nights
5045,i a single room please
5046,can i pay with visa
5047,is there a hotel bar
5058,i don't have a reservation
5059,i don't have a reservation
5060,i don't have a reservation
5061,i don't have a reservation
5062,i don't have a reservation
5063,i haven't a reservation
5064,i don't have a reservation
5065,i haven't a reservation
5066,i don't have a reservation
5067,i don't have a reservation
5068,i haven't a reservation
5069,i don't have a reservation
5070,i haven't a reservation
5071,i don't have a reservation
5072,i don't have a reservation
5073,i haven't a reservation
5074,i do not have a reservation
5075,no i do not a reservation
5076,i haven't a room for seven nights
5077,a single room please
5078,i would like pay with visa turkey
5079,is there a hotel restaurant
5080,where is the hotel restaurant
5081,i would like a room for five nights
5082,i would like a junior suite
5083,i would like pay with master card pay
5084,i would like two tickets to london
5085,i would like to leave on thirty morning
5086,i would like to leave on saturday morning
5087,my name is erica
5088,i come from austria
5089,i come from austria
5090,my name is barbara
5092,i'm from ireland
5093,i would like a ticket buy westminster please
5094,could you give me a ticket to westminster
5095,i would like pay with postcard card pay
5096,no i do not have a reservation
5097,i would like a room for one week please
5098,i would like a suite
5099,i would like pay with postcard is okay
5100,i would like pay with post is turkey
5101,i would like pay with euros turkey
5102,can i pay with euros
5103,is there a gym
5104,i would like four musical tickets
5105,do you have four tickets for thursday evening
5106,i want four tickets for the phantom of the opera
5107,i would like sit in the tenth
5108,can i would like tickets for the science museum
5109,do you have tickets for the science museum
5110,i need one ticket please
5111,do you have a twin room for three nights
5112,i would like a suite
5113,i would like pay with the credit card is the turkey
5114,do you have a lift
5115,i'm fine
5116,i would like sandals
5117,i would like blue sandals
5118,thirty six
5119,i would like jeans
5120,i would like brown jeans
5121,small
5122,how much does the jeans cost
5123,how much expensive
5124,this is too expensive
5128,a single room
5130,i want water without gas
5131,i would like a water without gas
5132,no i don't have a reservation
5133,i want a room for seven nights
5134,junior suite
5135,i want two tickets to london
5136,i would like to leave at saturday
5137,my name is barbara
5138,i'm from switzerland
5139,i want four tickets to london
5140,i would like to leave at thursday morning
5141,my name is james
5142,i'm from france
5143,i want six tickets to london
5144,i would like to leave at thursday afternoon
5145,my name is paolo
5146,i'm from austria
5147,i'm from austria
5148,i don't have a reservation
5149,no i don't have a reservation
5150,i want a room for four nights
5151,a double room
5152,i would like to pay with mastercard
5153,is there a grocery store
5154,no i don't have a reservation
5155,i want a room for four nights
5156,a suite
5157,suite
5158,i would like to pay with credit card
5159,i would like to pay with swiss francs
5160,is there a elevator
5161,where is the elevator
5162,my toilet is dirty
5163,in my room there isn't a hairdryer
5164,there is no hairdryer in my room
5165,where can i buy a hairdryer
5166,no i don't have a reservation
5168,i want a room for six nights
5169,a double room
5170,a double room
5171,a double room
5172,i would like to pay with post card
5173,is there an elevator
5174,where is the elevator
5175,my name is thomas
5176,i'm from switzerland
5177,the capital city of switzerland is bern
5178,i have four younger brothers
5179,i'm going on vacation
5180,i'm going on holidays
5181,this is my passport
5182,my name is sarah
5183,i'm from australia
5184,my name is andrew
5185,i am from australia
5186,my name is mona
5187,i'm from switzerland
5188,switzerland isn't africa
5189,switzerland is in europe
5190,the capital city of switzerland is bern
5191,i have two brothers notary have three brothers
5192,i have three brothers
5193,i go on holiday
5194,this is my passport
5195,my name is andrew
5196,i'm from ireland
5197,my name is mona
5198,i'm from australia
5199,my name is erica
5200,i'm from scotland
5201,my name is sarah
5202,my name is barbara
5203,i'm sarah
5204,i'm from italy
5205,the capital city of italy is rome
5206,i have four younger brothers
5207,i'm going on holidays
5208,i want ticket to the piccadilly circus
5209,i would like to pay with credit card
5210,i would like to pay with euro
5211,i want a ticket to trafalgar square
5212,i would like to pay with post card
5213,i want a ticket to westminster
5214,i would like to pay with mastercard
5215,i want a ticket to notting hill
5216,i would like to pay with visa
5217,i would like to pay with dollars
5218,i have smaller notes
5219,i want three musical tickets
5220,i would like to go on friday evening
5221,i would like to sit three tickets for starlight express
5222,i would like to sit in the first row
5223,i want tickets for national gallery
5224,two tickets
5225,can i have two tickets
5226,can i have two tickets
5227,i would like to have evening
5228,can i have a steak
5229,can i have a steak
5230,can i have a steak
5232,i want
5233,i would like a
5234,i want a
5235,i want the dessert menu
5236,i want the dessert menu
5237,i want a twin room
5239,i would like jeans
5240,i want a morse
5241,i would like to pay with credit card
5242,i want a orange juice
5243,i want the steak
5244,big
5245,i want the steak
5246,i want my steak well done
5247,can i have a baked potato
5248,that is not what i switzerland
5249,that is not what i ordered
5250,ah
5251,can i have a tea
5252,can i have a suite
5253,can i have the steak
5254,can i have the steak
5255,i want my steak blue
5256,can i have please
5257,can i have the dessert card
5258,can i have the dessert menu
5259,can i have the dessert menu
5260,where is the tate modern
5261,where is the big ben
5262,which bus drives there
5263,this is near of the bank of england
5264,where is the natural history museum
5265,where is madame tussauds
5266,which bus drives there
5267,marble arch is opposite hyde park
5268,i would like to go
5269,where is the natural history museum
5270,where is the london
5271,which bus drives there
5272,which bus afternoon
5273,the saint pauls cathedral is near bank of england
5281,i want a room for four nights
5282,single room
5283,i'm fine
5284,i'm fine thanks
5285,i want boots
5286,i am good
5287,i'm from portugal
5288,i like
5289,i'm looking boots
5291,no i do not have a reservation
5292,i want a room for six nights
5293,i would like a double row
5294,i would like to pay by post card
5295,i would pay with euros
5296,can i pay with euro
5297,is there a hotel restaurant
5298,where is the
5300,where is the hotel restaurant
5301,no i do not have a reservation
5302,a room for six nights
5303,a twin room please
5304,can i pay by mastercard
5305,can i pay with swiss francs
5306,is there a hairdresser
5307,i want to stay for five nights
5308,i want a double room
5312,i
5314,do you have a market
5315,i want a for four nights
5317,i want will a room for four nights
5318,a single room
5319,i want a single room
5320,i want pay with a credit card
5321,i want to pay with credit card
5322,i want to pay with credit card
5323,is there a swimming pool
5324,where is the swimming pool
5325,where is the swimming pool
5326,i want a room for five nights
5327,i want a room for five nights
5328,i want a double room
5329,i want a double room
5330,a twin room please
5331,i want to pay by credit card
5332,is there a lift
5333,where is the lift
5334,i will pay
5335,where is the lift
5336,i want to stay for four nights
5337,room for four nights
5338,a room for four nights
5339,a single room please
5340,i want to pay with my credit card
5341,can i pay with credit card
5342,is there a lift
5343,where is the lift
5346,i want i want a ticket to london
5347,can i pay a ticket to london
5348,i would like a ticket to london
5349,i want to leave tomorrow at seven pm
5350,i want a
5351,i'm from canada
5352,i am good
5353,my name is andy
5355,i am from portugal
5356,marble card is the city from portugal
5357,the capital of portugal is lisbon
5358,the capital of portugal is visa card
5359,i have a a brother
5360,for the holidays
5361,i am going on holidays
5363,this is my pass
5364,this is my passport
5366,i would like to have a ticket to the piccadilly circus
5367,i would like a ticket credit to piccadilly circus
5368,i would like the steak tonight
5369,a single a single room
5370,i would like a single room
5372,can i would pay with visa
5373,can i pay a pay with swiss francs
5374,is there a lift
5375,where is the lift
5376,i would like the steak four nights
5377,i would like to stay for four nights
5378,i would like to stay four nights
5379,i would like a ticket room
5380,can i pay a pay with post card
5381,can i pay with dollars carrots
5382,can i pay with dollars
5383,is there a shop
5384,is there a market
5385,is there a supermarket
5386,i would like a room for one week
5387,could i have a single room
5388,can i have a single room
5389,can i pay with credit card
5390,is there a restaurant
5391,is there a restaurant
5392,is there a lift dollars
5393,i want a room for for seven nights
5394,i would like a room for three nights
5396,i would like to stay for two nights
5397,can i have a room for the six nights
5398,a single room
5399,a single room
5400,single room
5401,i like to pay with visa
5402,i want to pay with mastercard
5403,i want pay with visa card
5404,give it a hotel bar
5405,where is the hotel bar
5406,i want a room for three please a for three nights
5407,i want a room for three nights
5408,i want a suite
5410,i would like to pay with the mastercard
5411,is there a hotel restaurant
5413,is it a hotel restaurant
5414,i will have a room for seven nights
5415,a double room
5417,a double room please
5418,a bar whittle credit card
5419,to for with a credit card
5420,for with a swiss francs
5421,i want to pay with switzerland francs
5422,i want to pay with swiss francs
5423,is there a hotel bar
5424,who is the hotel bar
5425,where is the hotel bar
5426,ticket to london
5427,a ticket to london
5428,i would to have a ticket a ticket to london
5429,i am from on six pm o'clock euro
5430,go on thursday o'clock in the morning
5431,i will go on six pm o'clock in the morning
5432,is brian
5433,i am brown
5434,i come from austria
5437,my name is patrick
5438,i'm from portugal
5439,the capital from portugal is lisbon
5440,the capital city from portugal is lisbon
5441,the capital from portugal is maddalena
5442,i have four sisters
5444,i have four sisters i have four sisters
5445,i going on holidays
5446,i going on holidays
5447,i going on the holidays
5448,this is my pass
5449,this is my pass
5450,i have
5451,i want five tickets to london
5452,i want to go on monday morning
6224,i want i like to have the room for three nights
6226,can i have a room for three nights
6227,a twin zimmer
6228,i want to pay with credit card
6229,do you have a grocery store
6230,where is the grocery
6231,where is the grocery store
6232,i would like to have a three musical tickets
6233,i would like to go at sunday evening
6234,i would like to go on sunday evening
6235,a on sunday evening please
6236,three tickets for wicked
6238,three tickets for wicked
6239,i would like to sit in the tenth row
6242,i want a ticket for the natural history museum
352,i want a coffee
353,i would like a coffee
354,i want the steak
355,i would like my steak medium
356,i would like a baked potato
357,the dessert menu
358,i would like the for the with raspberry
359,i would like the raspberry sorbet
360,i would like the raspberry sorbet
361,i would like boots
362,i would like the check
364,i would like to pay by mastercard
5493,one room for two nights please
5494,i want two nights
5495,have you got a room for two nights
5496,single room
5497,a single room
5499,can i pay with the credit card i with switzer i want i would sit in the can i have
5500,where is the for i supermarket
5501,have you got a supermarket
5502,where is the supermarket
5503,for six steak
5504,for six nights
5505,i need three tickets to london
5506,i want to for tomorrow on eight o'clock
5507,for one week
5508,single room
5509,i will room
5510,for four nights
5511,thank you
5512,four nights
5513,single room
5514,i will room
5516,i would like pay with post card
5517,do you got a hotel bar
5518,where is the hotel bar
5519,six nights
5520,for six nights
5522,a suite
5523,i want to pay with credit card
5524,do you got a fitness studio
5525,where is the fitness studio
5527,where is the fitness studio
5528,two tickets to london
5529,two tickets
5531,a twelve o'clock
5532,i want to go at twelve o'clock
5534,my name is patrick
5535,i'm from spain
5536,three nights
5537,three nights
5538,i would like a room for three nights
